,Voltage (V),Current Density (mA/cm2),Current (A),Measured Voltage (V)
0,-0.1,-3.8562874999999996e-07,-3.08503e-11,-0.09997825
1,-0.08686868686868687,-4.2223375e-07,-3.37787e-11,-0.0868499
2,-0.07373737373737374,-2.11465375e-08,-1.691723e-12,-0.07371236
3,-0.06060606060606061,-3.13045125e-07,-2.504361e-11,-0.06058139
4,-0.047474747474747475,-2.9552475e-07,-2.364198e-11,-0.04745552
5,-0.03434343434343434,-1.359655e-07,-1.087724e-11,-0.03432035
6,-0.02121212121212121,2.172335e-07,1.737868e-11,-0.02118997
7,-0.008080808080808077,-2.3232675e-07,-1.858614e-11,-0.008053303
8,0.005050505050505055,6.519705000000001e-08,5.215764e-12,0.005157391
9,0.018181818181818188,-6.131384999999999e-09,-4.905108e-13,0.01828429
10,0.03131313131313132,-4.4922725e-08,-3.593818e-12,0.03142326
11,0.04444444444444445,-3.9916975e-08,-3.193358e-12,0.04455212
12,0.057575757575757586,-1.0812207499999999e-07,-8.649766e-12,0.0576836
13,0.07070707070707072,7.61546e-08,6.092368e-12,0.07080972
14,0.08383838383838385,5.832151250000001e-08,4.665721e-12,0.08395467
15,0.09696969696969698,-5.81508e-09,-4.652064e-13,0.0970764
16,0.11010101010101012,1.7750375000000002e-07,1.42003e-11,0.1102156
17,0.12323232323232325,-1.41284125e-07,-1.130273e-11,0.1233336
18,0.13636363636363638,1.44344875e-07,1.154759e-11,0.1364841
19,0.14949494949494951,2.031605e-07,1.625284e-11,0.1496014
20,0.16262626262626265,2.219295e-07,1.775436e-11,0.1627342
21,0.17575757575757575,1.75008875e-07,1.400071e-11,0.1758607
22,0.1888888888888889,2.2850350000000003e-07,1.828028e-11,0.1889973
23,0.20202020202020207,2.069185e-07,1.655348e-11,0.2021188
24,0.21515151515151518,2.76363625e-07,2.210909e-11,0.2151754
25,0.22828282828282828,2.5040125e-07,2.00321e-11,0.2283084
26,0.24141414141414144,6.71465625e-07,5.371725e-11,0.2414403
27,0.25454545454545463,2.2881599999999998e-07,1.830528e-11,0.254609
28,0.26767676767676774,4.30589125e-07,3.444713e-11,0.2677753
29,0.28080808080808084,4.42789375e-07,3.542315e-11,0.2808652
30,0.29393939393939394,2.9419687499999997e-07,2.353575e-11,0.2940068
31,0.30707070707070716,4.3027637499999994e-07,3.442211e-11,0.3070791
32,0.32020202020202027,-4.7763487500000004e-08,-3.821079e-12,0.3202204
33,0.33333333333333337,6.026433750000001e-07,4.821147e-11,0.333364
34,0.3464646464646465,8.957615e-07,7.166092e-11,0.3464665
35,0.3595959595959597,3.811625e-07,3.0493e-11,0.3596089
36,0.3727272727272728,2.3005974999999998e-07,1.840478e-11,0.3727156
37,0.3858585858585859,7.02747625e-07,5.621981e-11,0.3858219
38,0.398989898989899,2.52591e-07,2.020728e-11,0.3989646
39,0.4121212121212122,4.91902875e-07,3.935223e-11,0.412037
40,0.4252525252525253,2.7574e-07,2.20592e-11,0.4252034
41,0.43838383838383843,1.068128625e-06,8.545029e-11,0.4383733
42,0.45151515151515154,4.0900387500000005e-07,3.272031e-11,0.4514695
43,0.46464646464646475,7.0462475e-07,5.636998e-11,0.464638
44,0.47777777777777786,6.7866025e-07,5.429282e-11,0.4778049
45,0.49090909090909096,5.913817499999999e-07,4.731054e-11,0.4909338
46,0.5040404040404042,7.681286250000001e-07,6.145029e-11,0.5040669
47,0.5171717171717173,6.08587125e-07,4.868697e-11,0.5172002
48,0.5303030303030304,6.295465000000001e-07,5.036372e-11,0.5303646
49,0.5434343434343435,7.196402500000001e-07,5.757122e-11,0.5435324
50,0.5565656565656566,6.936756249999999e-07,5.549405e-11,0.5566295
51,0.5696969696969698,1.019953125e-06,8.159625e-11,0.5697717
52,0.5828282828282829,7.46543125e-07,5.972345e-11,0.5829123
53,0.595959595959596,8.24436875e-07,6.595495e-11,0.5959864
54,0.6090909090909092,9.082738749999999e-07,7.266191e-11,0.6091275
55,0.6222222222222223,1.043102e-06,8.344816e-11,0.6222344
56,0.6353535353535354,8.751142499999999e-07,7.000914e-11,0.6353724
57,0.6484848484848486,1.064061375e-06,8.512491e-11,0.6484808
58,0.6616161616161617,9.0952525e-07,7.276202e-11,0.6615881
59,0.6747474747474749,1.077825625e-06,8.622605e-11,0.6747302
60,0.687878787878788,9.06084875e-07,7.248679e-11,0.6878714
61,0.7010101010101011,1.059369125e-06,8.474953e-11,0.7009634
62,0.7141414141414143,1.208587e-06,9.668696e-11,0.7141296
63,0.7272727272727274,1.2273565e-06,9.818852e-11,0.7272307
64,0.7404040404040405,1.01526025e-06,8.122082e-11,0.740398
65,0.7535353535353536,9.7865975e-07,7.829278e-11,0.753568
66,0.7666666666666667,7.897131249999999e-07,6.317705e-11,0.7666978
67,0.7797979797979799,1.3922162499999999e-06,1.113773e-10,0.7798668
68,0.792929292929293,1.222038125e-06,9.776305e-11,0.7929983
69,0.8060606060606061,1.0005580000000001e-06,8.004464e-11,0.8061339
70,0.8191919191919194,1.17824225e-06,9.425938e-11,0.8193015
71,0.8323232323232325,1.3249575e-06,1.059966e-10,0.8324007
72,0.8454545454545456,1.038408875e-06,8.307271e-11,0.8455467
73,0.8585858585858587,9.38305375e-07,7.506443e-11,0.8586904
74,0.8717171717171718,1.252695e-06,1.002156e-10,0.8717635
75,0.884848484848485,1.07282025e-06,8.582562e-11,0.8849044
76,0.8979797979797981,1.3130712499999999e-06,1.050457e-10,0.8980464
77,0.9111111111111113,1.28741875e-06,1.029935e-10,0.9111494
78,0.9242424242424244,1.30994125e-06,1.047953e-10,0.924291
79,0.9373737373737375,1.43476e-06,1.147808e-10,0.9373623
80,0.9505050505050506,1.35811625e-06,1.086493e-10,0.9505052
81,0.9636363636363637,1.145395625e-06,9.163165e-11,0.9636455
82,0.9767676767676768,1.2761562499999999e-06,1.020925e-10,0.9767257
83,0.98989898989899,1.45259e-06,1.162072e-10,0.9898997
84,1.003030303030303,1.574905e-06,1.259924e-10,1.003067
85,1.0161616161616163,1.4344475e-06,1.147558e-10,1.016171
86,1.0292929292929294,1.75916e-06,1.407328e-10,1.029339
87,1.0424242424242425,1.72162e-06,1.377296e-10,1.042474
88,1.0555555555555556,1.5401824999999997e-06,1.232146e-10,1.05564
89,1.0686868686868687,8.600984999999999e-07,6.880788e-11,1.068776
90,1.0818181818181818,1.3199525000000001e-06,1.055962e-10,1.08191
91,1.094949494949495,1.63121375e-06,1.304971e-10,1.095082
92,1.1080808080808082,1.6315275000000002e-06,1.305222e-10,1.10825
93,1.1212121212121213,1.6133825000000001e-06,1.290706e-10,1.121338
94,1.1343434343434344,1.6443525e-06,1.315482e-10,1.134478
95,1.1474747474747475,1.77261e-06,1.418088e-10,1.147551
96,1.1606060606060606,1.117554625e-06,8.940437e-11,1.160692
97,1.1737373737373737,1.6562400000000002e-06,1.324992e-10,1.173832
98,1.1868686868686869,1.7209937500000001e-06,1.376795e-10,1.186934
99,1.2,1.6027462500000002e-06,1.282197e-10,1.200076
